iter	Passed	Remaining
0	0	32
1	0	31
2	0	30
3	1	29
4	1	28
5	1	27
6	2	27
7	2	26
8	2	25
9	2	25
10	3	24
11	3	24
12	3	23
13	3	23
14	4	23
15	4	23
16	4	22
17	4	22
18	5	22
19	5	21
20	5	21
21	5	21
22	6	21
23	6	20
24	6	20
25	7	20
26	7	20
27	7	20
28	8	19
29	8	19
30	8	19
31	9	19
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	13
51	14	13
52	15	13
53	15	13
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	17	11
60	17	11
61	17	10
62	17	10
63	18	10
64	18	9
65	18	9
66	18	9
67	19	9
68	19	8
69	19	8
70	20	8
71	20	7
72	20	7
73	20	7
74	21	7
75	21	6
76	21	6
77	22	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	5
83	24	4
84	24	4
85	25	4
86	25	3
87	26	3
88	26	3
89	26	2
90	27	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	28	0
97	28	0
98	29	0
99	29	0
