iter	Passed	Remaining
0	59	59223
1	59	29766
2	60	19946
3	60	15069
4	60	12117
5	61	10154
6	61	8745
7	61	7681
8	62	6853
9	62	6196
10	62	5655
11	63	5211
12	63	4833
13	63	4506
14	64	4223
15	64	3974
16	64	3755
17	65	3560
18	65	3385
19	65	3229
20	66	3086
21	66	2957
22	66	2840
23	67	2731
24	67	2633
25	67	2542
26	68	2456
27	68	2377
28	68	2303
29	69	2234
30	69	2167
31	69	2111
32	70	2054
33	70	2000
34	70	1949
35	71	1901
36	71	1855
37	71	1812
38	71	1771
39	72	1733
40	72	1697
41	72	1662
42	73	1629
43	73	1597
44	73	1567
45	74	1537
46	74	1509
47	74	1483
48	75	1458
49	75	1436
50	76	1414
51	76	1394
52	76	1373
53	77	1354
54	77	1336
55	78	1320
56	78	1302
57	79	1283
58	79	1265
59	79	1248
60	79	1230
61	80	1214
62	80	1198
63	80	1182
64	81	1167
65	81	1152
66	81	1138
67	82	1124
68	82	1112
69	82	1098
70	83	1086
71	83	1073
72	83	1062
73	83	1050
74	84	1040
75	84	1031
76	85	1021
77	85	1011
78	85	1002
79	86	992
80	86	982
81	86	972
82	87	961
83	87	952
84	87	943
85	87	934
86	88	925
87	88	916
88	88	908
89	88	899
90	89	891
91	89	884
92	90	878
93	90	871
94	90	864
95	91	857
96	91	850
97	91	844
98	92	839
99	92	832
100	92	825
101	93	819
102	93	813
103	93	806
104	93	800
105	94	794
106	94	788
107	94	783
108	95	777
109	95	772
110	95	766
111	96	761
112	96	756
113	96	750
114	96	745
115	97	741
116	97	736
117	97	731
118	98	726
119	98	722
120	98	717
121	98	712
122	99	707
123	99	703
124	99	698
125	100	695
126	100	690
127	100	685
128	100	681
129	101	677
130	101	673
131	101	669
132	102	665
133	102	662
134	102	658
135	102	654
136	103	650
137	103	646
138	103	643
139	104	639
140	104	636
141	104	631
142	104	628
143	105	625
144	105	621
145	105	618
146	106	615
147	106	612
148	106	609
149	106	606
150	107	603
151	107	600
152	107	597
153	108	594
154	108	591
155	108	588
156	109	585
157	109	582
158	109	579
159	109	577
160	110	573
161	110	570
162	110	567
163	110	565
164	111	562
165	111	559
166	111	557
167	111	554
168	112	551
169	112	549
170	112	546
171	113	544
172	113	542
173	113	539
174	114	538
175	114	535
176	114	533
177	115	531
178	115	529
179	115	526
180	115	524
181	116	522
182	116	520
183	116	517
184	117	515
185	117	513
186	117	511
187	118	509
188	118	507
189	118	505
190	118	503
191	119	501
192	119	499
193	119	497
194	119	495
195	120	493
196	120	491
197	120	489
198	121	487
199	121	485
200	121	483
201	122	482
202	122	480
203	122	479
204	123	478
205	123	476
206	124	475
207	124	474
208	125	473
209	125	472
210	125	470
211	126	468
212	126	467
213	126	465
214	127	463
215	127	462
216	127	460
217	127	458
218	128	457
219	128	455
220	128	454
221	129	453
222	129	451
223	129	450
224	130	448
225	130	447
226	131	446
227	131	445
228	131	444
229	132	442
230	132	441
231	132	439
232	133	438
233	133	436
234	133	435
235	133	433
236	134	432
237	134	430
238	134	429
239	135	427
240	135	426
241	135	424
242	135	423
243	136	422
244	136	420
245	136	419
246	137	418
247	137	417
248	138	416
249	138	415
250	138	414
251	139	412
252	139	411
253	139	410
254	139	409
255	140	407
256	140	407
257	141	405
258	141	404
259	141	403
260	142	402
261	142	401
262	142	399
263	143	398
264	143	397
265	143	396
266	143	395
267	144	393
268	144	392
269	144	391
270	145	390
271	145	389
272	145	387
273	145	386
274	146	385
275	146	384
276	146	382
277	146	381
